ingredient_id,ingredient,ingredient_map,alcohol_type
672,garnish: lime twist,lime,NULL
673,garnish: lime wedge,lime,NULL
674,lime,lime,NULL
675,lime half-wheel,lime,NULL
676,lime husk,lime,NULL
677,lime peel,lime,NULL
678,lime shell,lime,NULL
679,lime slice,lime,NULL
680,lime twist,lime,NULL
681,lime wedge,lime,NULL
682,lime wheel,lime,NULL
683,lime wheels,lime,NULL
684,lime wheels or other seasonal garnishes you may prefer,lime,NULL
685,pieces (about the shape of small lime quarter),lime,NULL
686,wedges,lime,NULL
687,scrappy’s lime bitters,lime bitters,NULL
688,"lime juice, freshly squeezed",lime juice,NULL
689,fresh lime juice,lime juice,NULL
690,"lime juice, freshly squeezed (save the husks to use as the garnish)",lime juice,NULL
691,lime juice,lime juice,NULL
692,"lime juice,",lime juice,NULL
693,linie aquavit,linie aquavit,grain alcohol
694,liqueur (such as giffard),liqueur,liqueur
695,liqueur,liqueur,liqueur
696,liquore strega,liquore strega,liqueur
697,lotus root wheel (optional),lotus root wheel,NULL
698,soho lychee liqueur,lychee liqueur,liqueur
699,"lychee nuts, shelled (drained if canned)",lychee nuts,NULL
700,macvin du jura liqueur wine,macvin du jura liqueur wine,liqueur
701,madeira wine,madeira wine,liqueur
702,makrut lime leaf,makrut lime leaf,NULL
703,malic acid edv*,malic acid edv,NULL
704,mango-infused rum,mango-infused rum,rum
705,gina mango nectar,mango nectar,NULL
706,mango-pandan syrup*,mango-pandan syrup,NULL
707,maple beet shrub,maple beet shrub,NULL
708,maple leaf candy,maple leaf candy,NULL
709,maple syrup,maple syrup,NULL
710,grade b maple syrup,maple syrup,NULL
711,deep mountain grade b maple syrup,maple syrup,NULL
712,cabin fever maple flavored whiskey,maple whiskey,whiskey
713,luxardo maraschino,maraschino cherries,NULL
714,luxardo maraschino cherry,maraschino cherries,NULL
715,maraschino cherry,maraschino cherries,NULL
716,maraschino cherries,maraschino cherries,NULL
717,luxardo marasca cherries,maraschino cherries,NULL
718,luxardo maraschino cherries,maraschino cherries,NULL
719,luxardo maraschino liqueur,maraschino liqueur,liqueur
720,maraschino liqueur,maraschino liqueur,liqueur
721,maraschino liqueur (preferably luxardo),maraschino liqueur,liqueur
722,"marigold tea, brewed and chilled",marigold tea,NULL
723,4 leaves fresh marjoram,marjoram,NULL
724,"marmalade (blackberry, black cherry or orange)",marmalade,NULL
725,marmalade,marmalade,NULL
726,mini marshmallows,marshmellows,NULL
727,matcha,matcha,NULL
728,matcha powder,matcha,NULL
729,medjool date,medjool date,NULL
730,melon ball,melon,NULL
731,merlot wine,merlot wine,red wine
732,meyer lemon twist,meyer lemon twist,NULL
733,montelobos espadín mezcal,mezcal,mezcal
734,mezcal (preferably del maguey vida),mezcal,mezcal
735,mezcal espadín,mezcal,mezcal
736,del maguey vida mezcal,mezcal,mezcal
